         3615335 function calls (3404599 primitive calls) in 92.096 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      112    0.024    0.000    0.893    0.008 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\datasets\arrow_writer.py:583(write_batch)
      156    0.024    0.000    0.025    0.000 {built-in method nt.mkdir}
     3405    0.023    0.000    0.030    0.000 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\enum.py:1129(__new__)
  784/448    0.023    0.000    0.973    0.002 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\dill\_dill.py:1195(save_module_dict)
      112    0.023    0.000    2.365    0.021 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\datasets\arrow_dataset.py:631(__init__)
     3405    0.023    0.000    0.052    0.000 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\enum.py:726(__call__)
      675    0.023    0.000    0.023    0.000 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\json\encoder.py:205(iterencode)
    39401    0.023    0.000    0.023    0.000 {built-in method sentencepiece._sentencepiece.SentencePieceProcessor_PieceToId}
     2465    0.022    0.000    0.080    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\torch\nn\modules\container.py:319(__getitem__)
      111    0.022    0.000    0.034    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\torch\nn\modules\module.py:2304(_load_from_state_dict)
      558    0.022    0.000    0.048    0.000 <frozen ntpath>:107(join)
      112    0.022    0.000    0.022    0.000 {built-in method torch.full_like}
    11872    0.021    0.000    0.021    0.000 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\dataclasses.py:1286(<genexpr>)
     1240    0.021    0.000    0.040    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\datasets\features\features.py:1786(__init__)
     2352    0.021    0.000    1.735    0.001 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\datasets\fingerprint.py:190(update)
      224    0.021    0.000    0.028    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\datasets\features\features.py:53(_arrow_to_datasets_dtype)
     2352    0.021    0.000    0.034    0.000 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\pickle.py:485(memoize)
        7    0.020    0.003    0.087    0.012 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\inspect.py:1232(getblock)
2148/2144    0.020    0.000    0.023    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\datasets\features\features.py:1667(require_decoding)
     8848    0.020    0.000    0.054    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\datasets\utils\_dill.py:85(memoize)
      168    0.020    0.000    0.020    0.000 {built-in method torch.cat}
        1    0.020    0.020    0.020    0.020 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\nltk\metrics\aline.py:1(<module>)
  896/448    0.019    0.000    0.032    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\evaluate\module.py:733(_enforce_nested_string_type)
       56    0.019    0.000    0.126    0.002 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\bert_score\utils.py:469(greedy_cos_idf)
      112    0.019    0.000    0.019    0.000 {built-in method torch.log}
44774/44662    0.019    0.000    0.199    0.000 {built-in method builtins.hasattr}
     2352    0.019    0.000    0.023    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\datasets\fingerprint.py:178(hash_bytes)
     1232    0.019    0.000    2.674    0.002 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\torch\nn\functional.py:2103(softmax)
      448    0.019    0.000    0.320    0.001 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\datasets\features\features.py:1817(arrow_schema)
     5153    0.019    0.000    0.026    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\torch\_VF.py:27(__getattr__)
      112    0.018    0.000    0.018    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\sacrebleu\metrics\chrf.py:160(_compute_f_score)
  453/117    0.018    0.000    0.103    0.001 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\copy.py:247(_reconstruct)
     3642    0.018    0.000    0.023    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\openpyxl\descriptors\base.py:39(__set__)
     4017    0.017    0.000    0.030    0.000 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\tokenize.py:569(_generate_tokens_from_c_tokenizer)
      703    0.017    0.000    0.017    0.000 {method 'findall' of 're.Pattern' objects}
  560/336    0.017    0.000    0.026    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\datasets\features\features.py:1280(encode_nested_example)
    14791    0.017    0.000    0.017    0.000 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\copy.py:172(_deepcopy_atomic)
      701    0.017    0.000    0.043    0.000 <frozen importlib._bootstrap>:304(acquire)
    15746    0.017    0.000    0.017    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\bert_score\scorer.py:216(<lambda>)
      224    0.017    0.000    0.254    0.001 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\datasets\features\features.py:1828(from_arrow_schema)
1080/1004    0.016    0.000    3.125    0.003 <frozen importlib._bootstrap>:1390(_handle_fromlist)
      269    0.016    0.000    0.239    0.001 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\re\_compiler.py:511(_compile_info)
   615/43    0.016    0.000   10.202    0.237 <frozen importlib._bootstrap>:1349(_find_and_load)
     2352    0.016    0.000    1.664    0.001 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\datasets\utils\_dill.py:101(dump)
